,EMcrossnear,EMfracstdnear,EPstdnear,MMRstrengthnear,EMcrossfar,EMfracstdfar,EPstdfar,MMRstrengthfar,MEGNO,MEGNOstd
0,0.009741057132595833,0.07895752292179252,0.0003170144520692221,,0.13820432671476415,0.02120622698413759,0.002806071368637887,0.010991847796330933,6.810164244416926,1.6484587872220555
1,0.4790162393577732,0.00029338534296269276,1.1456703976991547e-05,,0.48626821400419606,0.0004190117121102759,5.703450656968481e-05,,2.117034125065712,0.23556395707194075
2,0.6074432204481333,0.0003304564000192211,1.9598505160244023e-05,0.051657782988955556,0.6607266984006002,9.602145972967046e-05,1.3888324920198492e-05,,2.01076775954546,0.22353711979154825
3,0.2538403890562138,0.0017064139620793022,1.097213741098162e-06,0.0029925841232484266,1.1735467399853834,3.857905326767275e-05,2.799387393807842e-06,2.2816703464014863e-05,2.062401020748883,0.22917180120741332
4,0.5428075703866974,0.011718419596047625,0.00947931993477485,0.043474047418377654,1.910693676791819,0.0017185262857407433,0.0010112556613408369,,2.034836499550845,0.3009177368780033
5,0.23955553824342954,0.0009874215160613302,9.815079852363806e-05,0.0034839002031067583,0.31320305655756764,0.0036115033422083162,3.126808594287468e-05,0.04760843748008782,2.0892350018728285,0.2320150453675589
6,0.8194680646284285,9.801944703051456e-05,0.00019806064200128686,,1.0119222561127241,5.894955543986869e-05,8.48445523322062e-06,0.010436702345433852,2.01033214226541,0.22340746367265354
7,0.013840060890991563,0.014154007780662082,3.5646516383609786e-05,,0.8821783041080093,2.3669897004964298e-05,1.2136232749767099e-05,,2.379902722385399,0.26399426856646063
8,0.7350461360181891,0.00013172499799760416,2.418881320886262e-05,,1.2242205593202915,4.175892536608396e-05,4.653464922881416e-05,,2.0572739128712283,0.2283914711733295
9,0.6734663460469308,4.608919773015852e-05,9.396835452627643e-06,,1.6031478051150934,1.5226364347124546e-05,2.6430561849438764e-06,,2.2538813194725424,0.2526806987274437
10,0.08003839363667681,,,,1.0636166019158133,,,,,
11,0.20446787714069642,0.008369871110932405,1.290548778737636e-05,0.030159890086913284,0.24658564653261003,0.008826080292563262,0.001003762120056591,0.0005574255089975136,2.0141812101192613,0.2235969850106273
12,0.15556678068132884,0.00127349845648878,3.091460944311756e-05,0.004499280503979185,0.7667858338993964,0.0002455860099875381,2.3257529872028242e-06,,1.892593493853186,0.2259915869508444
13,0.016412396342131548,,,,0.466202399602775,,,,,
14,0.08593311652820894,0.02405372978429046,0.00012173616535027587,0.05644240355214444,0.7378258505276405,0.0007930163083833987,0.00035379373062640094,,13.774602766723355,4.385036958855477
15,0.2352220475173015,0.012916394828696125,0.00032315704247341776,0.039825428763417575,1.567425887117827,0.0022772642011706415,0.00329156184383191,,2.1483641549855212,0.23961814761572411
16,0.045401207394630466,,,,0.5541309859628448,,,,,
17,0.1079340150681392,0.050019627161578976,0.015035072867454804,0.03957621220139329,0.7079063286091836,0.0016797729248421366,0.00012912489508964156,,10.677868792899655,3.02128465964076
18,0.014196594206631085,0.02848572689313722,8.01257312768682e-05,,0.26344100509613144,0.0003591746112201542,2.120772099341654e-05,0.0007612881150839627,11.255445408418574,3.266873238575047
19,0.25390745285916233,0.00034001166936450125,6.72577237818028e-05,0.007921989638636275,1.8157759830600477,3.774721838497303e-05,3.175497041154272e-06,,2.256915360365782,0.2516969677619258
20,0.01562545133559949,0.01301447857078215,3.094496206942505e-05,,0.8386196424387209,8.605481150008867e-05,2.445401514854406e-05,,2.1974428896686193,0.24378819236088264
21,0.2752039002568454,,,,0.3687040722484655,,,,,
